,state,vmt_arterial_rural,date,vmt_arterial_urban,vmt_all
369,Georgia,2549.0,2003-04-01 00:00:00,3865.0,9401.0
370,Maryland,964.0,2003-04-01 00:00:00,2624.0,4479.0
371,North Carolina,2175.0,2003-04-01 00:00:00,2784.0,8010.0
372,South Carolina,1791.0,2003-04-01 00:00:00,1210.0,4176.0
373,Virginia,2004.0,2003-04-01 00:00:00,3050.0,6570.0
374,West Virginia,750.0,2003-04-01 00:00:00,375.0,1691.0
375,Illinois,1701.0,2003-04-01 00:00:00,4899.0,8909.0
376,Indiana,1659.0,2003-04-01 00:00:00,2365.0,6322.0
377,Iowa,1090.0,2003-04-01 00:00:00,731.0,2569.0
378,Kansas,872.0,2003-04-01 00:00:00,852.0,2337.0
379,Michigan,1832.0,2003-04-01 00:00:00,4225.0,8129.0
380,Minnesota,1375.0,2003-04-01 00:00:00,1816.0,4515.0
381,Missouri,1563.0,2003-04-01 00:00:00,1997.0,5362.0
382,Nebraska,694.0,2003-04-01 00:00:00,466.0,1521.0
383,North Dakota,295.0,2003-04-01 00:00:00,110.0,600.0
384,Ohio,1998.0,2003-04-01 00:00:00,4017.0,8892.0
385,South Dakota,390.0,2003-04-01 00:00:00,119.0,680.0
386,Wisconsin,1727.0,2003-04-01 00:00:00,1527.0,4814.0
387,Alabama,1462.0,2003-04-01 00:00:00,1621.0,5039.0
388,Arkansas,989.0,2003-04-01 00:00:00,747.0,2440.0
389,Kentucky,1303.0,2003-04-01 00:00:00,1351.0,4015.0
390,Louisiana,1080.0,2003-04-01 00:00:00,1371.0,3559.0
391,Mississippi,1192.0,2003-04-01 00:00:00,688.0,3215.0
392,Oklahoma,1158.0,2003-04-01 00:00:00,1366.0,3786.0
393,Tennessee,1706.0,2003-04-01 00:00:00,2472.0,5703.0
394,Texas,4180.0,2003-04-01 00:00:00,9817.0,18346.0
395,Alaska,110.0,2003-04-01 00:00:00,171.0,436.0
396,Arizona,966.0,2003-04-01 00:00:00,2394.0,4574.0
397,California,3945.0,2003-04-01 00:00:00,18396.0,27073.0
398,Colorado,1013.0,2003-04-01 00:00:00,1854.0,3645.0
399,Hawaii,130.0,2003-04-01 00:00:00,340.0,719.0
400,Idaho,407.0,2003-04-01 00:00:00,340.0,1137.0
401,Montana,463.0,2003-04-01 00:00:00,145.0,891.0
